x cf
0.0257766 -9.74643e-05
0.0955427 0.001177513
0.123149 0.00176953
0.151137 0.00214442
0.20796 0.000484864
0.236304 -0.0004
0.250666 -0.000799494
0.265002 -0.00144162
0.307326 -0.00190886
0.363494 -0.00206763
0.433396 -0.00138448
0.531369 -0.000801542
0.671584 -0.000410736
0.797791 -0.000278194
0.994392 -0.000413091
1.19105 -0.000864721
1.33154 -0.00115757
1.52805 -0.00121737
1.6823 -0.000926671
1.8226 -0.000810963
1.86473 -0.000869636
1.92098 -0.00110351
2.01948 -0.00162952
2.08992 -0.00221369
2.18839 -0.00268134
2.27274 -0.00297378
2.37115 -0.00332469
2.51158 -0.00350081
2.69409 -0.00361888
2.89047 -0.00358685
3.0589 -0.00338808
3.25525 -0.00309768
3.39549 -0.00286524
3.64782 -0.00222506
3.85813 -0.00175967
4.06847 -0.00125264
4.25082 -0.00082051
4.40498 -0.000554706
4.69000 0.00000
4.82574 0.00015
5.12031 0.000432293
5.41486 0.000738705
5.72352 0.000969916
6.00423 0.001027868
6.38315 0.00102347
6.56566 0.000905406
6.77635 0.000553674
6.93084 0.000319084
7.01519 2.66401e-05
7.05738 -0.000148765
7.11355 -0.00020754
7.19768 -3.3057e-05
7.30979 0.00031632
7.49195 0.000957014
7.6459 0.00188974
7.77172 0.00293941
7.91153 0.0041057
8.05136 0.00521363
8.19098 0.00678849
8.23229 0.0084808
8.31568 0.0102312
8.35713 0.0116316
8.37032 0.0134409
8.45297 0.0167671
8.47968 0.0196852
8.52058 0.022253
8.53334 0.0249961
8.60256 0.0270384
8.64562 0.0249953
8.7035 0.0212595
8.73349 0.0171736
8.76339 0.0132629
8.77922 0.00941066
8.8091 0.0055583
8.8669 0.00199757
8.90961 0.000713208
8.90985 0.000187914
